RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
84.185432434082,-4.43312215805054,b'2M05364450-0425592',3215594701155523968,b'*',1,4298.45,19.7486,3.03667,0.0816851,b' ',47.2376,0.220345,3.185488,0.0,1.65,0.05
84.2136001586914,-4.42773723602295,b'2M05365126-0425398',3215594774172175104,b'*',1,5675.62,59.1225,4.68595,0.0821026,b' ',30.0964,0.308043,17.840284,0.0,0.35,0.0
83.7843780517578,-4.42590618133545,b'2M05350825-0425332',3209640540752059008,b'*',1,4015.17,18.263,4.62248,0.0648917,b' ',29.1847,0.268481,0.54542,0.032076,0.85,0.25
84.0260696411133,-4.42574882507324,b'2M05360625-0425326',3215640949363313408,b'*',17,8000.99,188.347,4.74257,0.0325435,b'<',1.19739,0.0,0.0,0.0,0.0,0.0
83.7517318725586,-4.42470216751099,b'2M05350041-0425289',3209639303801483008,b'*',1,4958.46,78.2361,4.21347,0.138933,b' ',8.1787,0.341504,0.781219,0.015243,1.15,0.05
83.8430023193359,-4.42434215545654,b'2M05352232-0425276',3209639853557281024,b' ',17,14396.3,75.407,4.77533,0.0335516,b'<',4.79502,0.0,2355.8275,0.0,0.0,0.0
83.8646850585938,-4.42421388626099,b'2M05352752-0425271',3209639814902249344,b'*',1,7282.95,763.571,4.23454,0.201602,b'<',4.33454,0.0,3.292883,0.090212,0.75,0.05
85.1052169799805,-4.42127990722656,b'2M05402525-0425166',3023455289016983296,b'*',8,13286.2,292.383,4.56287,0.0401247,b'<',5.13067,0.0,383.47067,11.361466,0.05,0.05
83.9149932861328,-4.42026996612549,b'2M05353959-0425129',3209640055417083520,b'*',1,4698.63,29.3917,4.50818,0.0642182,b' ',22.9981,0.377009,3.841847,0.0,0.5,0.05
83.628662109375,-4.41863298416138,b'2M05343087-0425070',3209651570228115200,b'*',1,4302.94,42.0616,5.10233,0.15105,b' ',-67.6668,0.974324,0.0,0.0,0.0,0.0
83.4910049438477,-4.41814994812012,b'2M05335784-0425053',3209648679711413504,b'*',1,5188.1,48.0255,4.95746,0.0750004,b' ',11.8361,0.247672,3.070379,0.103199,0.15,0.1
83.6482543945312,-4.41807699203491,b'2M05343558-0425050',3209651604587845888,b'*',4,5971.33,65.714,4.85257,0.0912346,b' ',11.7563,0.220081,2.060905,0.038702,1.0,0.05
83.9296340942383,-4.41547107696533,b'2M05354311-0424556',3209637139137932288,b'*',1,4244.93,26.447,4.43047,0.0907711,b' ',29.5172,0.956086,0.0,0.0,0.0,0.0
83.6757507324219,-4.41498899459839,b'2M05344218-0424539',3209650883033328000,b'*',1,6697.26,505.288,4.98379,0.146519,b'<',1.15945,0.0,11.11422,0.0,0.15,0.0
83.6312789916992,-4.41498613357544,b'2M05343150-0424539',3209651570228112256,b'*',1,5875.06,53.4095,4.54457,0.0763619,b' ',-12.666,0.181253,12.370318,0.0,0.15,0.0
83.6733245849609,-4.41091585159302,b'2M05344159-0424392',3209650883033327360,b' ',1,2983.33,25.0935,4.63269,0.101355,b' ',31.8719,0.672634,0.223583,0.010774,0.0,0.0
83.9564743041992,-4.41068601608276,b'2M05354955-0424384',3215641881373518720,b'*',1,4163.84,23.228,4.39087,0.076046,b'<',1.03577,0.0,1.48532,0.065281,1.25,0.1
84.1408767700195,-4.4010272026062,b'2M05363381-0424036',3215595736244856320,b'*',1,3942.35,25.1824,4.74072,0.10193,b' ',28.8139,0.48404,0.35823,0.018135,0.9,0.3
83.5561294555664,-4.39832592010498,b'2M05341347-0423539',3209648958887892736,b'*',1,3499.65,60.1625,4.35053,0.197064,b'<',1.02701,0.0,0.0,0.0,0.0,0.0
83.5391998291016,-4.39594411849976,b'2M05340940-0423453',3209649130686585344,b'*',1,4963.16,55.1838,4.95275,0.090613,b' ',65.5121,0.376914,0.627386,0.021632,1.35,0.05
83.6799011230469,-4.39210987091065,b'2M05344317-0423315',3209652051264425472,b'*',17,13760.1,150.704,4.73137,0.0257437,b'<',3.7591,0.0,1140.3789,267.27716,0.75,0.35
